infraction_description,set_fine_amount,location2
STAND VEH.-PROHIBIT TIME/DAY,100,1078 LANSDOWNE AVE
STAND VEH.-PROHIBIT TIME/DAY,100,21 SHALLMAR BLVD
STAND VEH.-PROHIBIT TIME/DAY,100,86 BLAKE ST
STAND VEH.-PROHIBIT TIME/DAY,100,86 BLAKE ST
STAND VEH.-PROHIBIT TIME/DAY,100,91 PILKINGTON DR
STAND VEH.-PROHIBIT TIME/DAY,100,ST CLARENS AVE
STAND VEH.-PROHIBIT TIME/DAY,100,ST CLARENS AVE
STAND VEH.-PROHIBIT TIME/DAY,100,18 PRINGDALE GARDENS CRCL
STAND VEH.-PROHIBIT TIME/DAY,100,TORBARRIE RD
STAND VEH.-PROHIBIT TIME/DAY,100,5 CLARENCE SQ
STAND VEH.-PROHIBIT TIME/DAY,100,618 GREENWOOD AVE
STAND VEH.-PROHIBIT TIME/DAY,100,1 SULTAN ST
STAND VEH.-PROHIBIT TIME/DAY,100,55 BRIAN HARRISON WAY
STAND VEH.-PROHIBIT TIME/DAY,100,DANFORTH AVE
STAND VEH.-PROHIBIT TIME/DAY,100,2507 LAKE SHORE BLVD W
STAND VEH.-PROHIBIT TIME/DAY,100,8 YORK ST
STAND VEH.-PROHIBIT TIME/DAY,100,94 GLOUCESTER ST
STAND VEH.-PROHIBIT TIME/DAY,100,1437 GERRARD ST E
STAND VEH.-PROHIBIT TIME/DAY,100,245 PARK LAWN RD
STAND VEH.-PROHIBIT TIME/DAY,100,VICTORIA ST
STAND VEH.-PROHIBIT TIME/DAY,100,1 STADIUM RD
STAND VEH.-PROHIBIT TIME/DAY,100,21 PIRANDELLO ST
STAND VEH.-PROHIBIT TIME/DAY,100,70 HOUNSLOW HEATH RD
STAND VEH.-PROHIBIT TIME/DAY,100,1661 DUFFERIN ST
STAND VEH.-PROHIBIT TIME/DAY,100,50 BRIAN HARRISON WAY
STAND VEH.-PROHIBIT TIME/DAY,100,43 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,5 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,5 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,43 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,20 EDWARD ST
STAND VEH.-PROHIBIT TIME/DAY,100,TORBARRIE RD
STAND VEH.-PROHIBIT TIME/DAY,100,43 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,5 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,218 QUEENS QUAY W
STAND VEH.-PROHIBIT TIME/DAY,100,33 CUMBERLAND ST
STAND VEH.-PROHIBIT TIME/DAY,100,65 EAST LIBERTY ST
STAND VEH.-PROHIBIT TIME/DAY,100,5001 YONGE ST
STAND VEH.-PROHIBIT TIME/DAY,100,5001 YONGE ST
STAND VEH.-PROHIBIT TIME/DAY,100,40 DUNDAS ST W
STAND VEH.-PROHIBIT TIME/DAY,100,40 DUNDAS ST W
STAND VEH.-PROHIBIT TIME/DAY,100,43 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,5 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,5 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,19 GRAND TRUNK CRES
STAND VEH.-PROHIBIT TIME/DAY,100,19 GRAND TRUNK CRES
STAND VEH.-PROHIBIT TIME/DAY,100,80 SOUDAN AVE
STAND VEH.-PROHIBIT TIME/DAY,100,SHEPPARD AVE E
STAND VEH.-PROHIBIT TIME/DAY,100,80 HOLLY ST
STAND VEH.-PROHIBIT TIME/DAY,100,ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,530 ADELAIDE ST W
STAND VEH.-PROHIBIT TIME/DAY,100,530 ADELAIDE ST W
STAND VEH.-PROHIBIT TIME/DAY,100,473 ADELAIDE ST W
STAND VEH.-PROHIBIT TIME/DAY,100,473 ADELAIDE ST W
STAND VEH.-PROHIBIT TIME/DAY,100,472 ADELAIDE ST W
STAND VEH.-PROHIBIT TIME/DAY,100,399 ADELAIDE ST W
STAND VEH.-PROHIBIT TIME/DAY,100,474 WELLINGTON ST W
STAND VEH.-PROHIBIT TIME/DAY,100,2238 QUEEN ST E
STAND VEH.-PROHIBIT TIME/DAY,100,3341 DUNDAS ST W
STAND VEH.-PROHIBIT TIME/DAY,100,1636 GERRARD ST E
STAND VEH.-PROHIBIT TIME/DAY,100,1636 GERRARD ST E
STAND VEH.-PROHIBIT TIME/DAY,100,2169 QUEEN ST E
STAND VEH.-PROHIBIT TIME/DAY,100,2169 QUEEN ST E
STAND VEH.-PROHIBIT TIME/DAY,100,75 BREMNER BLVD
STAND VEH.-PROHIBIT TIME/DAY,100,75 BREMNER BLVD
STAND VEH.-PROHIBIT TIME/DAY,100,1636 GERRARD ST E
STAND VEH.-PROHIBIT TIME/DAY,100,85 WOOD ST
STAND VEH.-PROHIBIT TIME/DAY,100,QUEEN ST E
STAND VEH.-PROHIBIT TIME/DAY,100,95 WOOD ST
STAND VEH.-PROHIBIT TIME/DAY,100,75 EAST LIBERTY ST
STAND VEH.-PROHIBIT TIME/DAY,100,5001 YONGE ST
STAND VEH.-PROHIBIT TIME/DAY,100,849 DANFORTH AVE
STAND VEH.-PROHIBIT TIME/DAY,100,COXWELL AVE
STAND VEH.-PROHIBIT TIME/DAY,100,628 GREENWOOD AVE
STAND VEH.-PROHIBIT TIME/DAY,100,3341 DUNDAS ST W
STAND VEH.-PROHIBIT TIME/DAY,100,2375 QUEEN ST E
STAND VEH.-PROHIBIT TIME/DAY,100,19 WESTERN BATTERY RD
STAND VEH.-PROHIBIT TIME/DAY,100,75 EAST LIBERTY ST
STAND VEH.-PROHIBIT TIME/DAY,100,16 JAMES ST
STAND VEH.-PROHIBIT TIME/DAY,100,87 PORTLAND ST
STAND VEH.-PROHIBIT TIME/DAY,100,GEORGE APPLETON WAY
STAND VEH.-PROHIBIT TIME/DAY,100,178 JARVIS ST
STAND VEH.-PROHIBIT TIME/DAY,100,50 EAST LIBERTY ST
STAND VEH.-PROHIBIT TIME/DAY,100,5001 YONGE ST
STAND VEH.-PROHIBIT TIME/DAY,100,24 MABELLE AVE
STAND VEH.-PROHIBIT TIME/DAY,100,75 EAST LIBERTY ST
STAND VEH.-PROHIBIT TIME/DAY,100,38 JOE SHUSTER WAY
STAND VEH.-PROHIBIT TIME/DAY,100,85 WOOD ST
STAND VEH.-PROHIBIT TIME/DAY,100,3 LOWER JARVIS ST
STAND VEH.-PROHIBIT TIME/DAY,100,43 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,5140 YONGE ST
STAND VEH.-PROHIBIT TIME/DAY,100,5001 YONGE ST
STAND VEH.-PROHIBIT TIME/DAY,100,88 CUMBERLAND ST
STAND VEH.-PROHIBIT TIME/DAY,100,GEORGE APPLETON WAY
STAND VEH.-PROHIBIT TIME/DAY,100,178 JARVIS ST
STAND VEH.-PROHIBIT TIME/DAY,100,75 EAST LIBERTY ST
STAND VEH.-PROHIBIT TIME/DAY,100,1234 ST CLAIR AVE W
STAND VEH.-PROHIBIT TIME/DAY,100,85 EAST LIBERTY ST
STAND VEH.-PROHIBIT TIME/DAY,100,75 EAST LIBERTY ST
STAND VEH.-PROHIBIT TIME/DAY,100,65 DUNCAN ST
STAND VEH.-PROHIBIT TIME/DAY,100,5351 YONGE ST
STAND VEH.-PROHIBIT TIME/DAY,100,JAMES ST
STAND VEH.-PROHIBIT TIME/DAY,100,JAMES ST
STAND VEH.-PROHIBIT TIME/DAY,100,5 JOE SHUSTER WAY
STAND VEH.-PROHIBIT TIME/DAY,100,25 JOE SHUSTER WAY
STAND VEH.-PROHIBIT TIME/DAY,100,45 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,45 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,33 CUMBERLAND ST
STAND VEH.-PROHIBIT TIME/DAY,100,49 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,150 EAST LIBERTY ST
STAND VEH.-PROHIBIT TIME/DAY,100,75 EAST LIBERTY ST
STAND VEH.-PROHIBIT TIME/DAY,100,5 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,85 WOOD ST
STAND VEH.-PROHIBIT TIME/DAY,100,1228 ST CLAIR AVE W
STAND VEH.-PROHIBIT TIME/DAY,100,1228 ST CLAIR AVE W
STAND VEH.-PROHIBIT TIME/DAY,100,1234 ST CLAIR AVE W
STAND VEH.-PROHIBIT TIME/DAY,100,230 THE ESPLANADE
STAND VEH.-PROHIBIT TIME/DAY,100,6 CHURCH ST
STAND VEH.-PROHIBIT TIME/DAY,100,THE ESPLANADE
STAND VEH.-PROHIBIT TIME/DAY,100,THE ESPLANADE
STAND VEH.-PROHIBIT TIME/DAY,100,1601 DUNDAS ST W
STAND VEH.-PROHIBIT TIME/DAY,100,THE ESPLANADE
STAND VEH.-PROHIBIT TIME/DAY,100,CHURCH ST
STAND VEH.-PROHIBIT TIME/DAY,100,THE ESPLANADE
STAND VEH.-PROHIBIT TIME/DAY,100,THE ESPLANADE
STAND VEH.-PROHIBIT TIME/DAY,100,75 EAST LIBERTY ST
STAND VEH.-PROHIBIT TIME/DAY,100,25 JOE SHUSTER WAY
STAND VEH.-PROHIBIT TIME/DAY,100,135 OSSINGTON AVE
STAND VEH.-PROHIBIT TIME/DAY,100,OSSINGTON AVE
STAND VEH.-PROHIBIT TIME/DAY,100,19 GRAND TRUNK CRES
STAND VEH.-PROHIBIT TIME/DAY,100,5 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,5 ELM ST
STAND VEH.-PROHIBIT TIME/DAY,100,125 REDPATH AVE
STAND VEH.-PROHIBIT TIME/DAY,100,19 GRAND TRUNK CRES
STAND VEH.-PROHIBIT TIME/DAY,100,19 GRAND TRUNK CRES
STAND VEH.-PROHIBIT TIME/DAY,100,SHEPPARD AVE E
STAND VEH.-PROHIBIT TIME/DAY,100,SHEPPARD AVE E
STAND VEH.-PROHIBIT TIME/DAY,100,SHEPPARD AVE E
STAND VEH.-PROHIBIT TIME/DAY,100,20 RICHARDSON ST
STAND VEH.-PROHIBIT TIME/DAY,100,12 BONNYCASTLE ST
