infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,0016,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0016,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0017,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0018,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0018,AT,2 COOPER ST,,,MB,3
PARK ON PRIVATE PROPERTY,30,0019,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0020,AT,2 COOPER ST,,,NY,3
PARK ON PRIVATE PROPERTY,30,0020,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0021,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0021,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0022,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0023,AT,2 COOPER ST,,,QC,3
PARK ON PRIVATE PROPERTY,30,0023,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0024,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0025,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0027,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0028,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0028,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0029,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0030,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0030,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0031,,30 MEADOWGLEN PL,,,ON,3
PARK ON PRIVATE PROPERTY,30,0031,AT,2 COOPER ST,,,QC,3
PARK ON PRIVATE PROPERTY,30,0032,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0033,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0034,AT,2 COOPER ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0037,AT,15 FORT YORK BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0038,AT,15 FORT YORK BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0055,,3725 DUNDAS ST W,,,ON,3
PARK ON PRIVATE PROPERTY,30,0103,AT,38 MONTE KWINTER CRT,,,ON,3
PARK ON PRIVATE PROPERTY,30,0107,AT,72 ESTHER SHINER BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0108,AT,72 ESTHER SHINER BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0109,AT,72 ESTHER SHINER BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0109,AT,72 ESTHER SHINER BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0110,AT,72 ESTHER SHINER BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0111,AT,72 ESTHER SHINER BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0111,AT,72 ESTHER SHINER BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0112,AT,72 ESTHER SHINER BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0113,AT,72 ESTHER SHINER BLVD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0123,AT,110 MARINE PARADE DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0124,AT,50 ORDNANCE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0124,AT,110 MARINE PARADE DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0125,AT,50 ORDNANCE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0125,AT,110 MARINE PARADE DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0126,AT,110 MARINE PARADE DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0126,AT,110 MARINE PARADE DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0127,AT,50 ORDNANCE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0127,AT,110 MARINE PARADE DR,,,ON,3
PARK ON PRIVATE PROPERTY,30,0128,AT,50 ORDNANCE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0129,AT,50 ORDNANCE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0130,,10 WILLOWRIDGE ROAD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0130,,10 WILLOWRIDGE ROAD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0132,AT,10 QUEENS QUAY W,,,ON,3
PARK ON PRIVATE PROPERTY,30,0133,AT,10 QUEENS QUAY W,,,ON,3
PARK ON PRIVATE PROPERTY,30,0135,,10 WILLOWRIDGE ROAD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0140,,10 WILLOWRIDGE ROAD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0148,AT,545 THE WEST MALL,,,ON,3
PARK ON PRIVATE PROPERTY,30,0150,,10 WILLOWRIDGE ROAD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0155,,10 WILLOWRIDGE ROAD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0155,AT,832 BAY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0155,AT,832 BAY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0155,AT,4 K SPADINA AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,0156,AT,832 BAY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0157,AT,832 BAY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0158,,44 WILLOWRIDGE RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0158,AT,832 BAY ST,,,QC,3
PARK ON PRIVATE PROPERTY,30,0159,AT,832 BAY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0159,AT,832 BAY ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,0212,NR,38 JOE SHUSTER WAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,0213,NR,38 JOE SHUSTER WAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,0223,AT,4695 SHEPPARD AVE E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0224,,270 THE KINGSWAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,0224,AT,4695 SHEPPARD AVE E,,,AB,3
PARK ON PRIVATE PROPERTY,30,0225,AT,4695 SHEPPARD AVE E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0225,AT,215 FORT YORK BLVD,,,IL,3
PARK ON PRIVATE PROPERTY,30,0228,,270 THE KINGSWAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,0228,AT,2223 EGLINTON AVE E,,,QC,3
PARK ON PRIVATE PROPERTY,30,0230,,2040 DON MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0231,AT,238 WELLESLEY ST E,,,AB,3
PARK ON PRIVATE PROPERTY,30,0231,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0232,,2040 DON MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0232,AT,238 WELLESLEY ST E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0232,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0233,AT,238 WELLESLEY ST E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0233,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0234,,2040 DON MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0234,AT,238 WELLESLEY ST E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0234,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0235,AT,238 WELLESLEY ST E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0235,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0236,,2040 DON MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0236,AT,238 WELLESLEY ST E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0236,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0237,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0238,,2040 DON MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0238,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0239,AT,2650 LAWRENCE AVE E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0239,AT,2650 LAWRENCE AVE E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0239,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0239,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0240,,2040 DON MILLS RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0240,AT,2650 LAWRENCE AVE E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0240,AT,2650 LAWRENCE AVE E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0240,AT,56 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,0241,AT,2650 LAWRENCE AVE E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0241,AT,2650 LAWRENCE AVE E,,,ON,3
PARK ON PRIVATE PROPERTY,30,0241,AT,56 FOREST MANOR RD,,,ON,3
