tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***73863,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0003,OPP,233 COLERIDGE AVE,,,ON
***73864,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,252 COLERIDGE AVE,,,MA
***73865,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0006,NR,262 COLERIDGE AVE,,,ON
***64116,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0025,NR,6 LAMB AVE,,,ON
***32841,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0026,NR,266 BINGHAM AVE,,,ON
***73866,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0026,NR,273 QUEENSDALE AVE,,,ON
***64117,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0027,NR,128 LAMB AVE,,,ON
***60082,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0029,NR,21 SCOLLARD ST,,,ON
***73867,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0029,NR,245 QUEENSDALE AVE,,,ON
***65185,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0030,N/S,BROADWAY AVE,E/O,YONGE ST,ON
***60083,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0031,NR,21 SCOLLARD ST,,,ON
***65186,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0032,S/S,BROADWAY AVE,E/O,YONGE ST,ON
***60084,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0032,NR,55 SCOLLARD ST,,,ON
***64118,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0032,OPP,18 LADYSMITH AVE,,,ON
***73868,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0032,NR,193 QUEENSDALE AVE,,,ON
***84164,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0032,NR,77 ST HUBERT AVE,,,ON
***84495,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0032,NR,128 MONTGOMERY AVE,,,ON
***64119,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0033,OPP,16 LADYSMITH AVE,,,ON
***73869,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0033,NR,193 QUEENSDALE AVE,,,ON
***32842,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0034,S/S,SWANWICK AVE,E/O,KINGSWOOD RD,NS
***64120,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0034,OPP,10 LADYSMITH AVE,,,ON
***73870,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0034,NR,179 QUEENSDALE AVE,,,ON
***84496,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0034,OPP,93 MONTGOMERY AVE,,,ON
***41793,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0036,NR,2 COOPER ST,,,ON
***65187,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0037,S/S,KEEWATIN AVE,E/O,YONGE ST,ON
***84165,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0038,NR,61 ST HUBERT AVE,,,ON
***84498,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0038,NR,48 MONTGOMERY AVE,,,ON
***41794,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0039,NR,2 COOPER ST,,,ON
***65188,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0039,S/S,KEEWATIN AVE,E/O,YONGE ST,ON
***84166,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0039,NR,61 ST HUBERT AVE,,,ON
