infraction_description,set_fine_amount,location2
PARK IN PARK NOT IN DESIG AREA,100,4169 BATHURST ST
PARK IN PARK NOT IN DESIG AREA,100,4169 BATHURST ST
PARK IN PARK NOT IN DESIG AREA,100,4169 BATHURST ST
PARK IN PARK NOT IN DESIG AREA,100,4169 BATHURST ST
PARK IN PARK NOT IN DESIG AREA,100,1873 HIGH PARK AVE
PARK IN PARK NOT IN DESIG AREA,100,1873 HIGH PARK AVE
PARK IN PARK NOT IN DESIG AREA,100,1873 HIGH PARK AVE
PARK IN PARK NOT IN DESIG AREA,100,1873 HIGH PARK AVE
PARK IN PARK NOT IN DESIG AREA,100,1873 HIGH PARK AVE
PARK IN PARK NOT IN DESIG AREA,100,1873 BLOOR ST W
PARK IN PARK NOT IN DESIG AREA,100,1873 BLOOR ST W
PARK IN PARK NOT IN DESIG AREA,100,1873 BLOOR ST W
PARK IN PARK NOT IN DESIG AREA,100,1873 BLOOR ST W
PARK IN PARK NOT IN DESIG AREA,100,1873 BLOOR ST W
PARK IN PARK NOT IN DESIG AREA,100,1873 BLOOR ST W
PARK IN PARK NOT IN DESIG AREA,100,1873 BLOOR ST W
PARK IN PARK NOT IN DESIG AREA,100,1873 BLOOR ST W
PARK IN PARK NOT IN DESIG AREA,100,1873 BLOOR ST W
