infraction_description,set_fine_amount,location2
PARK-WITHIN 3M OF FIRE HYDRANT,100,MORTIMER AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,700 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,109 ALCORN AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,330 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,361 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,RICHMOND ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,18 ATLAS AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,HURON ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,80 GROSVENOR ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,33 NIAGARA ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,64 ST CLAIR AVE W
PARK-WITHIN 3M OF FIRE HYDRANT,100,393 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,330 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,43 ELM ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,80 GROSVENOR ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,361 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,151 MC CAUL ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,23 CALLENDER ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,30 MOUNTNOEL AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,992 KINGSTON RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,318 QUEEN ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,96 SUDBURY ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,44 LILLIAN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,95 MC CAUL ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,142 VANDERHOOF AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,140 DANFORTH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,36 LISGAR ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,1497 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,255 HURON ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,361 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,MORTIMER AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,171 SPADINA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,168 CRAWFORD ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,PRINCESS ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,176 OAKMOUNT RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,116 GRACE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,66 ELWOOD BLVD
PARK-WITHIN 3M OF FIRE HYDRANT,100,421 QUEEN ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,118 GRACE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,255 MC CAUL ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,186 A SPADINA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,217 MC CAUL ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,214 MC CAUL ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,393 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,145 MUNRO ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,32 SCOLLARD ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,33 CAMBRIDGE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,43 ELM ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,11 ORDNANCE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,63 OSSINGTON AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,21 BERNARD AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,88 DOVERCOURT RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,30 MAPLE GROVE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,415 SPADINA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,44 DUNFIELD AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,22 GREENBRIAR RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,255 HURON ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,118 B MARLOW AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,186 SPADINA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,33 MILL ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,21 GWYNNE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,BUCKINGHAM ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,5 B DUFRESNE CRT
PARK-WITHIN 3M OF FIRE HYDRANT,100,5 DUFRESNE CRT
PARK-WITHIN 3M OF FIRE HYDRANT,100,40 ASQUITH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,9 ELM GROVE AVE
