infraction_description,set_fine_amount,location2
PARK MACHINE-REQD FEE NOT PAID,30,2998 DUNDAS ST W
PARK MACHINE-REQD FEE NOT PAID,30,80 FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,16 BROOKERS LANE
PARK MACHINE-REQD FEE NOT PAID,30,80 FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,420 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,2890 DUNDAS ST W
PARK MACHINE-REQD FEE NOT PAID,30,422 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,58 MARINE PARADE DR
PARK MACHINE-REQD FEE NOT PAID,30,DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,58 MARINE PARADE DR
PARK MACHINE-REQD FEE NOT PAID,30,428 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,58 MARINE PARADE DR
PARK MACHINE-REQD FEE NOT PAID,30,440 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,58 MARINE PARADE DR
PARK MACHINE-REQD FEE NOT PAID,30,2056 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,442 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,47 COLBORNE ST
PARK MACHINE-REQD FEE NOT PAID,30,62 MARINE PARADE DR
PARK MACHINE-REQD FEE NOT PAID,30,47 COLBORNE ST
PARK MACHINE-REQD FEE NOT PAID,30,82 MARINE PARADE DR
PARK MACHINE-REQD FEE NOT PAID,30,453 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,2056 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,98 MARINE PARADE DR
PARK MACHINE-REQD FEE NOT PAID,30,19 GRAND TRUNK CRES
PARK MACHINE-REQD FEE NOT PAID,30,451 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,110 MARINE PARADE DR
PARK MACHINE-REQD FEE NOT PAID,30,19 GRAND TRUNK CRES
PARK MACHINE-REQD FEE NOT PAID,30,19 GRAND TRUNK CRES
PARK MACHINE-REQD FEE NOT PAID,30,429 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,122 MARINE PARADE DR
PARK MACHINE-REQD FEE NOT PAID,30,30 GRAND TRUNK CRES
PARK MACHINE-REQD FEE NOT PAID,30,99 ATLANTIC AVE
PARK MACHINE-REQD FEE NOT PAID,30,423 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,15 BREADALBANE ST
PARK MACHINE-REQD FEE NOT PAID,30,GERRARD ST E
PARK MACHINE-REQD FEE NOT PAID,30,99 ATLANTIC AVE
PARK MACHINE-REQD FEE NOT PAID,30,160 MARINE PARADE DR
PARK MACHINE-REQD FEE NOT PAID,30,15 BREADALBANE ST
PARK MACHINE-REQD FEE NOT PAID,30,562 CHURCH ST
PARK MACHINE-REQD FEE NOT PAID,30,417 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,160 MARINE PARADE DR
PARK MACHINE-REQD FEE NOT PAID,30,15 BREADALBANE ST
PARK MACHINE-REQD FEE NOT PAID,30,123 JEFFERSON AVE
PARK MACHINE-REQD FEE NOT PAID,30,1430 GERRARD ST E
PARK MACHINE-REQD FEE NOT PAID,30,54 FRASER AVE
PARK MACHINE-REQD FEE NOT PAID,30,31 BRUNEL CRT
PARK MACHINE-REQD FEE NOT PAID,30,20 LOMBARD ST
PARK MACHINE-REQD FEE NOT PAID,30,260 GRENVIEW BLVD S
PARK MACHINE-REQD FEE NOT PAID,30,31 BRUNEL CRT
PARK MACHINE-REQD FEE NOT PAID,30,1470 GERRARD ST E
PARK MACHINE-REQD FEE NOT PAID,30,1340 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,1606 GERRARD ST E
PARK MACHINE-REQD FEE NOT PAID,30,81 ELIZABETH ST
PARK MACHINE-REQD FEE NOT PAID,30,10 CAPREOL CRT
PARK MACHINE-REQD FEE NOT PAID,30,1472 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,10 CAPREOL CRT
PARK MACHINE-REQD FEE NOT PAID,30,1620 GERRARD ST E
PARK MACHINE-REQD FEE NOT PAID,30,VICTORIA ST
PARK MACHINE-REQD FEE NOT PAID,30,112 ELIZABETH ST
PARK MACHINE-REQD FEE NOT PAID,30,1530 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,70 FORT YORK BLVD
PARK MACHINE-REQD FEE NOT PAID,30,30 DUNCAN ST
PARK MACHINE-REQD FEE NOT PAID,30,30 NELSON ST
PARK MACHINE-REQD FEE NOT PAID,30,1 TORONTO ST
PARK MACHINE-REQD FEE NOT PAID,30,30 NELSON ST
PARK MACHINE-REQD FEE NOT PAID,30,20 PALACE ST
PARK MACHINE-REQD FEE NOT PAID,30,6 LA PLANTE AVE
PARK MACHINE-REQD FEE NOT PAID,30,20 TORONTO ST
PARK MACHINE-REQD FEE NOT PAID,30,70 FRASER AVE
PARK MACHINE-REQD FEE NOT PAID,30,2968 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,NELSON ST
PARK MACHINE-REQD FEE NOT PAID,30,224 FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,NELSON ST
PARK MACHINE-REQD FEE NOT PAID,30,PALACE ST
PARK MACHINE-REQD FEE NOT PAID,30,236 FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,1235 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,DUNCAN ST
PARK MACHINE-REQD FEE NOT PAID,30,400 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,1 SCOTT ST
PARK MACHINE-REQD FEE NOT PAID,30,120 FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,20 HANNA AVE
PARK MACHINE-REQD FEE NOT PAID,30,400 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,222 ELM ST
PARK MACHINE-REQD FEE NOT PAID,30,10 BRENTWOOD RD N
PARK MACHINE-REQD FEE NOT PAID,30,926 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,400 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,222 ELM ST
PARK MACHINE-REQD FEE NOT PAID,30,940 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,2 BRENTWOOD RD N
PARK MACHINE-REQD FEE NOT PAID,30,940 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,474 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,222 ELM ST
PARK MACHINE-REQD FEE NOT PAID,30,110 ELM ST
PARK MACHINE-REQD FEE NOT PAID,30,2 BRENTWOOD RD N
PARK MACHINE-REQD FEE NOT PAID,30,474 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,919 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,474 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,SIMCOE ST
PARK MACHINE-REQD FEE NOT PAID,30,1971 QUEEN ST E
PARK MACHINE-REQD FEE NOT PAID,30,87 FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,110 ELM ST
PARK MACHINE-REQD FEE NOT PAID,30,11 CHURCH ST
PARK MACHINE-REQD FEE NOT PAID,30,110 ELM ST
PARK MACHINE-REQD FEE NOT PAID,30,760 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,638 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,628 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,CHURCH ST
PARK MACHINE-REQD FEE NOT PAID,30,449 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,431 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,40 BEDFORD RD
PARK MACHINE-REQD FEE NOT PAID,30,SCARBORO BEACH BLVD
PARK MACHINE-REQD FEE NOT PAID,30,409 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,21 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,418 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,25 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,29 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,33 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,432 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,35 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,442 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,15 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,LA PLANTE AVE
PARK MACHINE-REQD FEE NOT PAID,30,443 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,15 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,437 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,LA PLANTE AVE
PARK MACHINE-REQD FEE NOT PAID,30,208 SIMCOE ST
PARK MACHINE-REQD FEE NOT PAID,30,HAYTER ST
PARK MACHINE-REQD FEE NOT PAID,30,28 BIRCHVIEW BLVD
PARK MACHINE-REQD FEE NOT PAID,30,213 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,208 SIMCOE ST
PARK MACHINE-REQD FEE NOT PAID,30,213 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,28 BIRCHVIEW BLVD
PARK MACHINE-REQD FEE NOT PAID,30,208 SIMCOE ST
PARK MACHINE-REQD FEE NOT PAID,30,200 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,28 BIRCHVIEW BLVD
PARK MACHINE-REQD FEE NOT PAID,30,83 REDPATH AVE
PARK MACHINE-REQD FEE NOT PAID,30,28 BIRCHVIEW BLVD
PARK MACHINE-REQD FEE NOT PAID,30,95 REDPATH AVE
PARK MACHINE-REQD FEE NOT PAID,30,1530 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,31 ST JOSEPH ST
PARK MACHINE-REQD FEE NOT PAID,30,315 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,98 LILLIAN ST
PARK MACHINE-REQD FEE NOT PAID,30,1509 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,44 ST JOSEPH ST
PARK MACHINE-REQD FEE NOT PAID,30,522 UNIVERSITY AVE
