tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***96848,20220102,2,PARK - LONGER THAN 3 HOURS,30,0256,NR,4 TEWSLEY PL,,,ON
***96849,20220102,2,PARK - LONGER THAN 3 HOURS,30,0258,NR,4 TEWSLEY PL,,,ON
***74344,20220102,2,PARK - LONGER THAN 3 HOURS,30,0300,NR,326 ST GERMAIN AVE,,,ON
***96850,20220102,2,PARK - LONGER THAN 3 HOURS,30,0300,NR,25 TEWSLEY PL,,,ON
***74345,20220102,2,PARK - LONGER THAN 3 HOURS,30,0301,NR,305 ST GERMAIN AVE,,,ON
***96851,20220102,2,PARK - LONGER THAN 3 HOURS,30,0301,NR,29 TEWSLEY PL,,,ON
***74346,20220102,2,PARK - LONGER THAN 3 HOURS,30,0303,NR,308 ST GERMAIN AVE,,,ON
***96852,20220102,2,PARK - LONGER THAN 3 HOURS,30,0303,NR,56 TEWSLEY PL,,,ON
***74347,20220102,2,PARK - LONGER THAN 3 HOURS,30,0304,NR,283 ST GERMAIN AVE,,,ON
***84444,20220102,2,PARK - LONGER THAN 3 HOURS,30,0304,NR,1181 OSSINGTON AVE,,,ON
***48702,20220102,2,PARK - LONGER THAN 3 HOURS,30,0305,NR,53 CHEETAH CRES,,,ON
***74348,20220102,2,PARK - LONGER THAN 3 HOURS,30,0305,NR,283 ST GERMAIN AVE,,,ON
***48703,20220102,2,PARK - LONGER THAN 3 HOURS,30,0306,NR,38 CHEETAH CRES,,,ON
***74349,20220102,2,PARK - LONGER THAN 3 HOURS,30,0306,NR,283 ST GERMAIN AVE,,,ON
***84445,20220102,2,PARK - LONGER THAN 3 HOURS,30,0306,NR,1171 OSSINGTON AVE,,,ON
***48704,20220102,2,PARK - LONGER THAN 3 HOURS,30,0307,NR,57 CHEETAH CRES,,,ON
***84446,20220102,2,PARK - LONGER THAN 3 HOURS,30,0307,NR,1169 OSSINGTON AVE,,,ON
***74350,20220102,2,PARK - LONGER THAN 3 HOURS,30,0308,NR,272 ST GERMAIN AVE,,,ON
***74351,20220102,2,PARK - LONGER THAN 3 HOURS,30,0309,NR,261 ST GERMAIN AVE,,,ON
***48705,20220102,2,PARK - LONGER THAN 3 HOURS,30,0310,NR,9 CHEETAH CRES,,,ON
***74352,20220102,2,PARK - LONGER THAN 3 HOURS,30,0310,NR,261 ST GERMAIN AVE,,,ON
***48706,20220102,2,PARK - LONGER THAN 3 HOURS,30,0311,NR,12 CHEETAH CRES,,,ON
***74353,20220102,2,PARK - LONGER THAN 3 HOURS,30,0311,NR,261 ST GERMAIN AVE,,,ON
***74354,20220102,2,PARK - LONGER THAN 3 HOURS,30,0312,NR,250 ST GERMAIN AVE,,,ON
***74355,20220102,2,PARK - LONGER THAN 3 HOURS,30,0313,NR,250 ST GERMAIN AVE,,,ON
***96853,20220102,2,PARK - LONGER THAN 3 HOURS,30,0313,NR,55 NORTHCREST RD,,,ON
***30700,20220102,2,PARK - LONGER THAN 3 HOURS,30,0314,NR,48 BURLINGAME RD,,,ON
***96854,20220102,2,PARK - LONGER THAN 3 HOURS,30,0314,NR,54 NORTHCREST RD,,,ON
***96855,20220102,2,PARK - LONGER THAN 3 HOURS,30,0315,NR,54 NORTHCREST RD,,,ON
***48707,20220102,2,PARK - LONGER THAN 3 HOURS,30,0321,NR,17 ECOPARK GT,,,ON
***96856,20220102,2,PARK - LONGER THAN 3 HOURS,30,0321,NR,205 WINCOTT DR,,,ON
***48708,20220102,2,PARK - LONGER THAN 3 HOURS,30,0322,NR,15 ECOPARK GT,,,ON
***30701,20220102,2,PARK - LONGER THAN 3 HOURS,30,0322,OPP,217 THIRTIETH ST,,,ON
***48709,20220102,2,PARK - LONGER THAN 3 HOURS,30,0323,NR,16 ECOPARK GT,,,ON
***84447,20220102,2,PARK - LONGER THAN 3 HOURS,30,0323,NR,40 CROHAM RD,,,ON
***96857,20220102,2,PARK - LONGER THAN 3 HOURS,30,0323,NR,154 WINCOTT DR,,,ON
***48710,20220102,2,PARK - LONGER THAN 3 HOURS,30,0324,NR,18 ECOPARK GT,,,ON
***30702,20220102,2,PARK - LONGER THAN 3 HOURS,30,0324,OPP,217 THIRTIETH ST,,,ON
***84448,20220102,2,PARK - LONGER THAN 3 HOURS,30,0324,NR,44 CROHAM RD,,,ON
***30703,20220102,2,PARK - LONGER THAN 3 HOURS,30,0325,OPP,217 THIRTIETH ST,,,ON
***96858,20220102,2,PARK - LONGER THAN 3 HOURS,30,0325,NR,144 WINCOTT DR,,,ON
***48711,20220102,2,PARK - LONGER THAN 3 HOURS,30,0326,NR,26 ECOPARK GT,,,ON
***55107,20220102,2,PARK - LONGER THAN 3 HOURS,30,0326,NR,30 TRALEE AVE,,,ON
***30704,20220102,2,PARK - LONGER THAN 3 HOURS,30,0326,OPP,217 THIRTIETH ST,,,ON
***48712,20220102,2,PARK - LONGER THAN 3 HOURS,30,0327,NR,28 ECOPARK GT,,,ON
***48713,20220102,2,PARK - LONGER THAN 3 HOURS,30,0328,NR,29 ECOPARK GT,,,ON
